RId,pos111,InjDateTime,CarbonDioxide,Ethylene,Acetylene,Ethane,hydrogen,oxygen,Nitrogen,Methane,CarbonMonoxide,propane,propylene,TrancId,CreateDate,sample_position,TCG,TajhizType,SerialNumber,TajhizNumber,Manufacture,OilTemprator,SamplePlace,Rahgiry,TajhizName,BreakdownVoltage,WaterContents,TAN,DDF,Resistivity,InterfacialTension,Vis,PCBcontent,FurfuralContent,ASROG,ASDOR,TRINGL,TAN22,TGG,Karshenas,isSendtotrec,sendDatetime,sendResult,postcode,examdate,status,postname,karshenas2,voltazh,tajhizstatus
320065,2326P T3 PIROUZI 1404-05-11,1404-05-11,2307,109,8,37,88,7688,24242,43,960,,41,0,8/5/2025 12:58:32 PM,0,1286,,,,,,,,T3,60,15.9,,0.039,6.2,,,,,?? ????,???? ???,,0.18,,,0,,,2326P,1404-05-11,1,??????,,,-1
320064,2326P T2 PIROUZI 1404-05-11,1404-05-11,2250,20,0,34,110,7942,28122,16,940,,99,0,8/5/2025 12:58:32 PM,0,1219,,,,,,,,T2,54,16.6,,0.011,23,,,,,???? 1 : ????? ????,???? ???,,0.1,,,0,,,2326P,1404-05-11,1,??????,,,-1
320063,2326P T1 PIROUZI 1404-05-11,1404-05-11,3540,575,14,72,163,9439,18278,392,1140,,68,0,8/5/2025 12:58:32 PM,0,2424,,713764,,,59,,,T1,54,16.7,,0.051,5.2,,,,,???? 5 : ???? ?????? ????? ?? 700 ????,???? 1 : ????? ??????,,0.21,,,0,,,2326P,1404-05-11,1,??????,,,-1
320062,3716F T2 GHASR FIROUZEH 1404-05-11,1404-05-11,1960,26,4,6,44,9854,22483,14,951,,0,0,8/5/2025 12:58:31 PM,0,1045,,,,,,,,T2,55,16.2,,0.045,6.2,,,,,?? ????,???? ???,,0.13,,,0,,,3716F,1404-05-11,1,??? ??????,,,-1
320061,3716F T1 GHASR FIROUZEH 1404-05-11,1404-05-11,1966,9,3,3,32,9786,29117,12,1150,,0,0,8/5/2025 12:58:31 PM,0,1209,,,,,,,,T1,57,15.9,,0.046,5.7,,,,,?? ????,???? ???,,0.12,,,0,,,3716F,1404-05-11,1,??? ??????,,,-1
320060,6305K SS(GT)2 KARAJ230 1404-05-08,1404-05-08,780,3,0,43,165,7380,26900,23,330,,106,0,8/5/2025 12:58:31 PM,0,670,,,,,,,,SS(GT)2,63,14,,0.005,58,,,,,???? 1 : ????? ????,???? ???,,0.048,,,0,,,6305K,1404-05-08,1,???,,,-1
320059,6305K SS(GT)1 KARAJ230 1404-05-08,1404-05-08,788,5,0,73,411,7018,28286,30,227,,76,0,8/5/2025 12:58:30 PM,0,822,,,,,,,,SS(GT)1,60,13.1,,0.009,47.4,,,,,???? 1 : ????? ????,???? ???,,0.048,,,0,,,6305K,1404-05-08,1,???,,,-1
320058,6305K T2 KARAJ230 1404-05-08,1404-05-08,1900,3,0,101,22,9545,28838,126,730,,51,0,8/5/2025 12:58:30 PM,0,1033,,,,,,,,T2,63,12.9,,0.006,67.2,,,,,?? ????,???? ???,,0.028,,,0,,,6305K,1404-05-08,1,???,,,-1
320057,6305K T1 KARAJ230 1404-05-08,1404-05-08,1654,5,0,94,15,10955,22450,90,786,,82,0,8/5/2025 12:58:29 PM,0,1072,,,,,,,,T1,62,13.1,,0.004,73.1,,,,,?? ????,???? ???,,0.048,,,0,,,6305K,1404-05-08,1,???,,,-1
320056,6315A T2 AZIMIEH 1404-05-08,1404-05-08,2240,7,0,2,146,7064,33283,13,850,,95,0,8/5/2025 12:58:29 PM,0,1113,,,,,,,,T2,64,12.8,,0.017,14.5,,,,,?? ????,???? ???,,0.2,,,0,,,6315A,1404-05-08,1,??????,,,-1
320055,6315A T1 AZIMIEH 1404-05-08,1404-05-08,3500,36,0,23,307,9416,35473,24,1008,,77,0,8/5/2025 12:58:28 PM,0,1475,,,,,,,,T1,64,14,,0.01,21.2,,,,,?? ????,???? ???,,0.21,,,0,,,6315A,1404-05-08,1,??????,,,-1
320054,7307M GT4 SIKL TARKIB GHOM 1404-05-07,1404-05-07,990,2,0,1,10,8578,16396,14,200,,0,0,8/3/2025 9:43:54 AM,0,227,,,,,,,,GT4,,,,,,,,,,?? ????,???? ???,,,,,0,,,7307M,1404-05-07,1,???? ?????? ??,,,-1
320053,7307M T4T SIKL TARKIB GHOM 1404-05-07,1404-05-07,1566,1,0,35,25,3508,20934,34,340,,77,0,8/3/2025 9:43:53 AM,0,512,,,,,,,,T4T,,,,,,,,,,?? ????,???? ???,,,,,0,,,7307M,1404-05-07,1,???? ?????? ??,,,-1
320052,7307M T4S SIKL TARKIB GHOM 1404-05-07,1404-05-07,998,1,0,28,28,6455,24967,33,200,,69,0,8/3/2025 9:43:53 AM,0,359,,,,,,,,T4S,,,,,,,,,,?? ????,???? ???,,,,,0,,,7307M,1404-05-07,1,???? ?????? ??,,,-1
320051,7307M T4R SIKL TARKIB GHOM 1404-05-07,1404-05-07,1220,2,0,35,27,7415,23946,38,158,,75,0,8/3/2025 9:43:53 AM,0,335,,,,,,,,T4R,,,,,,,,,,?? ????,???? ???,,,,,0,,,7307M,1404-05-07,1,???? ?????? ??,,,-1
